Data;Time;RCE
20200112;16;138.92
20200112;17;148.50
20200112;18;152.31
20200112;19;153.13
20200112;20;151.84
20200112;21;151.44
20200112;22;134.78
20200112;23;122.34
20200112;24;107.54
20200113;1;107.36
20200113;2;98.21
20200113;3;99.82
20200113;4;105.51
20200113;5;110.71
20200113;6;138.47
20200113;7;215.43
20200113;8;219.54
20200113;9;236.71
20200113;10;245.02
20200113;11;243.59
20200113;12;253.43
20200113;13;259.22
20200113;14;262.86
20200113;15;260.86
20200113;16;261.36
20200113;17;273.30
20200113;18;274.04
20200113;19;258.75
20200113;20;257.72
20200113;21;237.49
20200113;22;200.12
20200113;23;225.97
20200113;24;195.84
20200114;1;166.71
20200114;2;160.82
20200114;3;158.12
20200114;4;158.07
20200114;5;158.10
20200114;6;161.71
20200114;7;226.05
20200114;8;227.53
20200114;9;230.58
20200114;10;230.73
20200114;11;234.53
20200114;12;234.52
20200114;13;234.40
20200114;14;229.56
20200114;15;219.35
20200114;16;216.64
20200114;17;226.80
20200114;18;227.26
20200114;19;224.17
20200114;20;216.99
20200114;21;201.27
20200114;22;185.61
20200114;23;209.01
20200114;24;167.94
20200115;1;132.60
20200115;2;122.47
20200115;3;115.02
20200115;4;113.97
20200115;5;118.06
20200115;6;140.59
20200115;7;204.56
20200115;8;199.18
20200115;9;191.40
20200115;10;190.91
20200115;11;190.14
20200115;12;198.16
20200115;13;199.77
20200115;14;210.13
20200115;15;195.29
20200115;16;200.26
20200115;17;222.69
20200115;18;213.82
20200115;19;191.99
20200115;20;191.32
20200115;21;187.66
20200115;22;166.03
20200115;23;190.20
20200115;24;159.52
20200116;1;138.95
20200116;2;135.12
20200116;3;132.96
20200116;4;127.96
20200116;5;150.10
20200116;6;151.33
20200116;7;215.50
20200116;8;217.16
20200116;9;235.38
20200116;10;241.65
20200116;11;242.33
20200116;12;244.26
20200116;13;245.73
20200116;14;248.84
20200116;15;249.85
20200116;16;253.33
20200116;17;283.87
20200116;18;283.79
20200116;19;281.74
20200116;20;260.79
20200116;21;240.00
20200116;22;188.68
20200116;23;216.13
20200116;24;193.74
20200117;1;158.27
20200117;2;154.76
20200117;3;150.10
20200117;4;147.32
20200117;5;152.09
20200117;6;157.99
20200117;7;216.43
20200117;8;224.57
20200117;9;233.70
20200117;10;235.04
20200117;11;232.37
20200117;12;242.43
20200117;13;242.18
20200117;14;240.48
20200117;15;232.02
20200117;16;223.05
20200117;17;228.70
20200117;18;229.09
20200117;19;224.64
20200117;20;212.33
20200117;21;192.23
20200117;22;173.56
20200117;23;178.64
20200117;24;152.48
20200118;1;159.21
20200118;2;157.05
20200118;3;154.22
20200118;4;152.01
20200118;5;152.32
20200118;6;157.04
20200118;7;160.65
20200118;8;186.52
20200118;9;188.29
20200118;10;219.48
20200118;11;233.55
20200118;12;233.08
20200118;13;240.42
20200118;14;243.55
20200118;15;233.48
20200118;16;233.43
20200118;17;246.74
20200118;18;245.32
20200118;19;241.34
20200118;20;236.42
20200118;21;223.15
20200118;22;178.60
20200118;23;161.57
20200118;24;160.04
20200119;1;155.99
20200119;2;146.59
20200119;3;144.11
20200119;4;142.30
20200119;5;143.16
20200119;6;144.54
20200119;7;142.94
20200119;8;151.19
20200119;9;156.53
20200119;10;173.82
20200119;11;183.84
20200119;12;198.37
20200119;13;201.01
20200119;14;205.95
20200119;15;198.15
20200119;16;195.75
20200119;17;222.25
20200119;18;228.37
20200119;19;228.64
20200119;20;227.98
20200119;21;225.66
20200119;22;206.61
20200119;23;177.20
20200119;24;157.77
20200120;1;185.63
20200120;2;177.31
20200120;3;164.32
20200120;4;164.52
20200120;5;185.57
20200120;6;190.20
20200120;7;232.68
20200120;8;251.21
20200120;9;271.57
20200120;10;277.46
20200120;11;269.65
20200120;12;269.73
20200120;13;254.28
20200120;14;259.52
20200120;15;247.13
20200120;16;242.56
20200120;17;248.41
20200120;18;246.54
20200120;19;232.86
20200120;20;227.68
20200120;21;202.93
20200120;22;181.37
20200120;23;206.96
20200120;24;182.53
20200121;1;157.86
20200121;2;146.20
20200121;3;142.99
20200121;4;139.22
20200121;5;144.14
20200121;6;154.97
20200121;7;215.98
20200121;8;215.98
20200121;9;226.67
20200121;10;205.09
20200121;11;195.57
20200121;12;194.74
20200121;13;192.57
20200121;14;192.33
20200121;15;192.46
20200121;16;191.58
20200121;17;214.59
20200121;18;239.87
20200121;19;239.08
20200121;20;224.30
20200121;21;200.62
20200121;22;181.32
20200121;23;193.75
20200121;24;163.53
20200122;1;150.67
20200122;2;141.26
20200122;3;134.30
20200122;4;138.57
20200122;5;138.12
20200122;6;147.91
20200122;7;204.54
20200122;8;210.90
20200122;9;228.16
20200122;10;214.38
20200122;11;200.75
20200122;12;203.96
20200122;13;203.91
20200122;14;204.14
20200122;15;203.04
20200122;16;212.73
20200122;17;228.92
20200122;18;252.58
20200122;19;263.56
20200122;20;245.41
20200122;21;227.62
20200122;22;205.20
20200122;23;205.40
20200122;24;171.35
20200123;1;175.13
20200123;2;174.41
20200123;3;170.84
20200123;4;168.51
20200123;5;167.28
20200123;6;186.14
20200123;7;242.64
20200123;8;251.86
20200123;9;274.20
20200123;10;265.73
20200123;11;247.83
20200123;12;244.52
20200123;13;239.84
20200123;14;239.36
20200123;15;231.95
20200123;16;232.98
20200123;17;250.77
20200123;18;253.73
20200123;19;256.66
20200123;20;244.59
20200123;21;227.95
20200123;22;188.20
20200123;23;185.87
20200123;24;173.05
20200124;1;183.15
20200124;2;163.65
20200124;3;160.02
20200124;4;158.86
20200124;5;162.83
20200124;6;186.02
20200124;7;227.91
20200124;8;232.10
20200124;9;265.45
20200124;10;251.49
20200124;11;232.51
20200124;12;230.32
20200124;13;220.40
20200124;14;200.81
20200124;15;199.70
20200124;16;212.96
20200124;17;228.30
20200124;18;250.32
20200124;19;249.13
20200124;20;241.30
